Time,Equity,Returns,stock1_signal,stock2_signal
2010-02-18,9531.34057,0.0004160536669532977,-1,1
2010-02-19,9513.29962,-0.0018928029973858118,-1,1
2010-02-21,9506.65047,-0.0006989320494038553,-1,1
2010-02-22,9518.477570000001,0.0012440869723067127,-1,1
2010-02-23,9527.012420000001,0.0008966612504188731,-1,1
2010-02-24,9532.36627,0.0005619652587793844,-1,1
2010-02-25,9527.443770000002,-0.0005163985374220248,-1,1
2010-02-26,9514.93682,-0.0013127288181309371,-1,1
2010-02-28,9515.03887,1.0725241998965629e-05,-1,1
2010-03-01,9514.84547,-2.0325718333102927e-05,-1,1
2010-03-02,9498.190470000001,-0.0017504225425952757,-1,1
2010-03-03,9492.18167,-0.0006326257637156996,-1,1
2010-03-04,9499.82992,0.0008057420586642383,-1,1
2010-03-05,9497.876820000001,-0.0002055931544507894,-1,1
2010-03-07,9497.658370000001,-2.2999877145157832e-05,-1,1
2010-03-08,9509.77742,0.0012760039925503452,-1,1
2010-03-09,9509.70432,-7.686825545083487e-06,-1,1
2010-03-10,9523.717120000001,0.0014735263609122473,-1,1
2010-03-11,9521.87112,-0.00019383188063459844,-1,1
2010-03-12,9530.82962,0.0009408339902001739,-1,1
2010-03-14,9527.946170000001,-0.0003025392452665754,-1,1
2010-03-15,9523.524570000001,-0.00046406643374219403,-1,1
2010-03-16,9505.66097,-0.0018757341222463975,-1,1
2010-03-17,9510.20275,0.00047779738982201003,-1,1
2010-03-18,9506.718120000001,-0.00036640964357981254,-1,1
2010-03-19,9525.64772,0.001991181368907524,-1,1
2010-03-21,9528.33237,0.0002818338530787834,-1,1
2010-03-22,9527.27647,-0.00011081687319425271,-1,1
2010-03-23,9529.691920000001,0.0002535299576542638,-1,1
2010-03-24,9545.517170000001,0.0016606255619646682,-1,1
2010-03-25,9542.73902,-0.00029104237628230223,-1,1
2010-03-26,9525.249020000001,-0.0018328071178875804,-1,1
2010-03-28,9525.312870000002,6.70323682516738e-06,-1,1
2010-03-29,9522.96292,-0.0002467058071554673,-1,1
2010-03-30,9529.47412,0.0006837367796870275,-1,1
2010-03-31,9519.919520000001,-0.001002636649166888,-1,1
2010-04-01,9505.84907,-0.0014780009400753302,-1,1
2010-04-02,9511.159020000001,0.0005585981810671825,-1,1
2010-04-04,9509.12017,-0.00021436399031005138,-1,1
2010-04-05,9502.230570000002,-0.0007245254951908642,-1,1
2010-04-06,9498.045320000001,-0.00044044921549413196,-1,1
2010-04-07,9484.232020000001,-0.001454330815932492,-1,1
2010-04-08,9482.98947,-0.00013101218921895974,-1,1
2010-04-09,9470.74972,-0.001290705851643259,-1,1
2010-04-11,9466.22997,-0.00047723254585163577,-1,1
2010-04-12,9476.9254,0.001129851063611964,-1,1
2010-04-13,9480.799920000001,0.0004088372374442262,-1,1
2010-04-14,9475.246720000001,-0.000585731166869774,-1,1
2010-04-15,9472.945520000001,-0.00024286438844300928,-1,1
2010-04-16,9495.06117,0.002334611758645355,-1,1
2010-04-18,9495.23372,1.8172605411370668e-05,-1,1
