Time,Open,High,Low,Close,Volume,Day,ATR,direction,dir_count,spread,size,entry_price,TP,SL,profit/loss
2007-05-27 20:00:00,655.27,655.635,654.815,655.372,93,Sun,3.0600499999999897,bull,3,0.02,100.0,,,,
2007-05-28 00:00:00,654.994,656.303,654.665,654.79,204,Mon,3.0663499999999884,bear,1,0.02,100.0,,,,
2007-05-28 04:00:00,654.782,656.084,654.368,655.655,219,Mon,3.0208499999999843,bull,1,0.02,100.0,,,,
2007-05-28 08:00:00,655.666,656.106,654.999,655.368,185,Mon,2.93739999999998,bear,1,0.02,100.0,,,,
2007-05-28 12:00:00,655.362,655.858,654.257,654.623,173,Mon,2.7024999999999806,bear,2,0.02,100.0,,,,
2007-05-28 16:00:00,654.667,655.345,654.292,654.83,124,Mon,2.520399999999978,bull,1,0.02,100.0,,,,
2007-05-28 20:00:00,654.805,655.549,654.422,655.108,146,Mon,2.40684999999998,bull,2,0.02,100.0,,,,
2007-05-29 00:00:00,655.067,656.21,654.273,655.348,226,Tue,2.4137999999999806,bull,3,0.02,100.0,,,,
2007-05-29 04:00:00,654.522,655.698,653.97,653.97,223,Tue,2.379099999999977,bear,1,0.02,100.0,,,,
2007-05-29 08:00:00,654.644,659.198,653.87,657.923,238,Tue,2.545649999999978,bull,1,0.02,100.0,,,,
2007-05-29 12:00:00,657.123,661.748,655.82,657.095,240,Tue,2.72439999999998,bear,1,0.02,100.0,,,,
2007-05-29 16:00:00,657.222,657.348,654.923,656.798,230,Tue,2.355699999999979,bear,2,0.02,100.0,,,,
2007-05-29 20:00:00,656.92,657.61,654.947,656.384,165,Tue,2.294999999999976,bear,3,0.02,100.0,,,,
2007-05-30 00:00:00,656.894,658.47,655.269,657.67,227,Wed,2.3507499999999766,bull,1,0.02,100.0,,,,
2007-05-30 04:00:00,657.698,657.895,655.097,656.022,223,Wed,2.382149999999979,bear,1,0.02,100.0,,,,
2007-05-30 08:00:00,656.645,658.222,652.848,653.723,239,Wed,2.5397999999999796,bear,2,0.02,100.0,,,,
2007-05-30 12:00:00,653.473,654.845,651.198,653.594,240,Wed,2.5371499999999854,bull,1,0.02,100.0,,,,
2007-05-30 16:00:00,653.67,654.32,651.519,653.122,226,Wed,2.4778999999999884,bear,1,0.02,100.0,,,,
2007-05-30 20:00:00,653.198,654.67,652.145,654.407,172,Wed,2.515249999999986,bull,1,0.02,100.0,,,,
2007-05-31 00:00:00,654.407,656.448,653.997,655.848,218,Thu,2.59464999999999,bull,2,0.02,100.0,,,,
2007-05-31 04:00:00,655.822,657.07,654.224,656.42,220,Thu,2.6946999999999948,bull,3,0.02,100.0,,,,
